episode,avg_pods,avg_latency,reward,execution_time
146,54.12,1088.4393,-52199.78,0.69
147,41.4,1020.2202,-45535.23,1.26
148,41.6,1015.0796,-51218.62,1.08
149,50.0,1003.19,-51153.18,2.52
150,52.0,1036.1079,-43624.17,1.27
151,39.16,1010.3875,-47296.79,1.28
152,40.28,1076.6198,-42387.38,1.26
153,45.76,1030.8941,-55409.93,1.26
154,55.48,1025.1602,-39343.02,2.24
155,37.6,1060.6122,-51763.63,1.25
156,55.6,1044.137,-57267.7,1.32
157,43.24,1045.8328,-49563.65,1.35
158,49.92,1065.0938,-44032.12,1.3
159,55.76,1011.3338,-41167.08,2.3
160,33.32,1028.4984,-49025.41,1.25
161,43.92,1108.0114,-46768.19,1.23
162,43.6,1051.3964,-47822.03,1.21
163,58.24,1093.3476,-44420.0,1.25
164,61.36,1100.5373,-54127.84,2.26
165,53.2,1022.1748,-49258.54,1.08
166,51.88,1033.3028,-45459.54,1.42
167,50.56,981.9172,-54833.84,1.25
168,61.92,991.005,-50927.0,0.63
169,44.2,1014.2834,-57211.14,2.21
170,55.6,1024.0295,-43434.4,1.26
171,45.76,1034.9734,-47628.7,1.27
172,52.64,1016.5391,-41335.92,1.27
173,56.52,1034.7458,-49479.23,1.29
174,39.12,1024.2724,-45537.7,1.31
175,59.0,1054.8764,-43679.67,2.14
176,52.56,1069.3476,-51428.61,1.14
177,47.28,1032.4068,-45621.07,1.2
178,53.32,1017.5071,-41356.75,1.27
179,43.4,1038.9198,-47519.81,1.37
180,43.72,1019.2855,-45451.6,2.13
181,49.96,1022.3283,-45042.68,1.04
182,28.08,984.0643,-48876.11,1.26
183,57.08,1025.9445,-53192.31,1.26
184,46.04,1002.4456,-53148.27,1.31
185,36.88,1003.8256,-56977.94,2.11
186,59.8,1047.0285,-43477.74,1.2
187,49.88,1022.589,-47111.17,1.38
188,52.8,1010.763,-55197.11,1.29
189,51.8,1008.2667,-45031.6,1.57
190,49.48,1029.8603,-51353.11,1.81
191,47.84,1074.0976,-46222.56,1.22
192,47.4,1033.1447,-45546.5,1.33
193,48.48,1024.5312,-43409.38,1.31
194,52.12,1017.4121,-49046.63,1.62
195,45.04,998.4242,-46929.52,2.35
196,58.6,1069.0893,-43839.26,1.36
197,28.64,1038.3211,-53707.39,1.35
198,39.52,1042.3912,-41613.88,1.43
199,43.92,1050.2956,-49426.87,1.48
200,49.36,1037.4849,-51248.69,2.28
201,34.44,1011.3278,-50847.27,1.32
202,41.44,1031.7218,-43338.81,1.44
203,50.56,1045.8134,-41406.35,1.36
204,50.56,1066.2232,-55697.41,1.32
205,51.6,1018.441,-43566.89,2.57
206,42.84,1043.733,-49443.5,1.38
207,54.72,1042.148,-49475.9,1.33
208,47.96,1033.3541,-49523.33,1.31
209,55.28,1044.6276,-51279.97,1.18
210,43.8,1014.929,-41127.36,1.6
211,43.2,1060.7481,-43854.71,1.31
212,42.8,1049.2064,-47770.51,1.3
213,51.52,1082.9587,-42334.79,1.38
214,46.36,1044.7217,-55598.61,1.27
215,42.76,1029.251,-45716.31,1.45
216,49.24,1054.835,-45531.69,1.3
217,57.0,1020.8034,-47291.31,1.25
218,59.44,1022.1797,-53512.01,1.31
219,40.36,1028.0387,-53575.58,1.29
220,52.96,1089.073,-52147.87,1.17
221,41.52,1050.6945,-49838.92,2.22
222,49.92,1038.6605,-49897.35,1.14
223,58.72,1006.3936,-54964.99,1.32
224,43.6,1041.0662,-47855.94,1.21
225,57.28,1039.6996,-41473.12,1.29
226,42.6,1022.5668,-49380.68,2.24
