episode,avg_pods,avg_latency,reward,execution_time
157,8.88,18.8635,-2.0,0.17
158,5.52,345922.1321,-6.0,0.16
159,7.6,69.4587,-8.0,0.2
160,5.4,120015.0013,-3.0,0.19
161,5.2,21.6185,4.0,0.15
162,7.8,32.4268,5.0,0.21
163,7.04,0.1255,-1.0,0.22
164,9.56,61414.2494,-3.0,0.17
165,8.48,48.1798,-6.0,0.17
166,9.72,45.9802,-10.0,0.16
167,7.0,2897.2948,-2.0,0.2
168,7.0,119903.2541,-7.0,0.18
169,7.72,479615.2566,-8.0,0.16
170,8.92,73.7882,-5.0,0.17
171,6.12,19.3795,-6.0,0.17
172,7.8,431201.3225,-4.0,0.23
173,6.32,679313.0152,-9.0,0.21
174,8.32,649323.1151,2.0,0.2
175,8.52,2614.6314,1.0,0.28
176,6.04,359844.8216,4.0,0.18
177,6.28,193593.3627,1.0,0.19
178,7.6,239803.3647,-4.0,0.18
179,5.8,6.6693,0.0,0.26
180,5.32,719834.4556,-7.0,0.18
181,6.24,109.5827,-4.0,0.15
182,7.72,243017.5945,0.0,0.16
183,5.16,35.3206,6.0,0.19
184,7.0,326.8709,-6.0,0.19
185,6.36,356820.5576,4.0,0.23
186,6.72,3.3392,2.0,0.19
187,7.08,36568.9517,5.0,0.16
188,7.6,2820.7325,-1.0,0.21
189,8.16,384572.8464,3.0,0.17
190,5.12,120.6649,2.0,0.24
191,6.64,168270.602,1.0,0.25
192,6.32,49.5676,-6.0,0.18
193,4.88,2.4183,-1.0,0.21
194,7.16,305.7153,0.0,0.25
195,5.64,1155336.2416,-2.0,0.21
196,7.88,239923.3117,-2.0,0.24
197,6.16,292.3348,-4.0,0.17
198,5.44,1006.3724,-5.0,0.27
199,8.04,694053.5178,1.0,0.19
200,8.68,122610.9912,4.0,0.25
201,5.96,61.8586,7.0,0.18
202,7.56,479603.5347,2.0,0.22
203,6.84,1.5608,1.0,0.21
204,9.28,363167.0788,0.0,0.15
205,7.72,3157.9224,-6.0,0.29
206,6.56,1.4041,5.0,0.31
207,5.64,153781.1113,1.0,0.22
208,6.44,32252.8398,1.0,0.19
209,6.32,25033.0318,-1.0,0.17
210,5.4,359852.2804,-6.0,0.19
211,6.52,46.0701,3.0,0.17
212,6.04,0.2362,0.0,0.2
213,5.96,359702.5009,2.0,0.16
214,7.0,1.7051,-2.0,0.22
215,6.84,17.7966,-2.0,0.31
216,6.2,4874.6174,2.0,0.32
217,5.44,359702.9981,-3.0,0.24
218,9.48,28.7066,2.0,0.2
219,5.32,67887.8682,-11.0,0.21
220,7.84,851470.5548,-6.0,0.24
221,4.96,0.0755,7.0,0.16
222,6.52,0.1749,6.0,0.18
223,7.04,1090.3512,-4.0,0.18
224,4.6,0.0452,0.0,0.18
225,5.44,8.9009,7.0,0.18
226,4.76,119962.2298,4.0,0.18
227,4.52,31.9066,-2.0,0.22
228,5.88,0.597,3.0,0.29
229,7.24,155.3944,-5.0,0.27
230,8.24,340072.0485,-1.0,0.23
231,7.16,362429.3803,-5.0,0.25
232,7.8,1377558.6422,-7.0,0.28
233,6.44,4.6295,1.0,0.3
234,8.04,151.1352,-4.0,0.27
235,6.4,8493.8314,1.0,0.28
236,6.32,358081.5848,-7.0,0.28
237,6.96,362557.7874,-8.0,0.31
238,8.2,0.1794,-2.0,0.28
239,6.56,46.4782,0.0,0.24
240,7.64,44.6283,-6.0,0.17
241,6.24,55.9091,1.0,0.22
242,3.96,26.3852,-2.0,0.24
243,5.32,765064.6654,-3.0,0.25
244,5.64,140.1768,8.0,0.2
245,6.28,145.7563,-6.0,0.21
246,7.56,56501.7725,3.0,0.26
247,6.44,120802.998,9.0,0.4
248,4.68,207990.5719,21.0,0.23
249,6.0,369236.1821,2.0,0.16
250,4.6,45.6963,8.0,0.18
251,7.0,715201.0268,-5.0,0.19
252,6.92,3.3281,0.0,0.23
253,5.36,129.6087,3.0,0.27
254,5.76,355311.7996,9.0,0.19
255,6.64,288284.5244,6.0,0.2
256,6.24,35.2156,0.0,0.18
257,4.44,0.8744,-1.0,0.19
258,5.2,715300.142,-1.0,0.17
259,8.12,0.0935,-1.0,0.16
260,6.72,479940.6194,-8.0,0.16
261,6.08,359854.7892,4.0,0.15
262,6.12,2742.226,11.0,0.2
263,4.16,56465.4724,6.0,0.24
264,6.24,7568.9153,2.0,0.16
265,4.8,355313.5173,4.0,0.17
266,7.48,165.4396,0.0,0.21
267,5.36,584.3236,2.0,0.22
268,7.2,34052.3799,8.0,0.23
