episode,avg_pods,avg_latency,reward,execution_time
148,9.36,118940.8579,-2767.63,0.23
149,9.44,1079537.9742,-3622.89,0.22
150,8.84,1119.8573,-3753.32,0.24
151,9.64,294.7038,-3250.22,0.19
152,8.88,360090.475,-1666.91,0.19
153,9.8,0.237,-1505.84,0.26
154,9.24,33530.2355,-2703.94,0.39
155,7.52,395744.3384,-3816.63,0.31
156,7.96,33883.5759,-3779.61,0.25
157,9.68,428.911,-3255.28,0.31
158,7.16,359702.6011,-3501.71,0.29
159,9.2,105425.0666,-3010.31,0.3
160,9.2,359737.2677,-3560.08,0.31
161,8.2,128202.887,-3751.26,0.21
162,12.12,0.7918,-3502.61,0.19
163,8.84,39.6608,-3254.83,0.31
164,9.56,1079545.7124,-3660.71,0.29
165,10.2,850.0376,-3336.63,0.35
166,9.84,250836.0497,-4076.64,0.33
167,8.32,449642.0477,-3751.02,0.32
168,7.08,0.9822,-4502.76,0.31
169,10.04,5140.8108,-3500.32,0.32
170,7.04,327.5707,-3002.7,0.25
171,8.6,65948.5136,-3295.19,0.29
172,9.4,396637.921,-3017.03,0.33
173,8.6,1022.3113,-3755.82,0.49
174,8.04,4766.97,-1763.28,0.3
175,11.36,359667.5714,-2750.93,0.21
176,11.08,1368.728,-3001.01,0.18
177,7.36,474440.6256,-3406.44,0.17
178,10.08,0.6114,-2265.02,0.33
179,8.0,42.3683,-2930.05,0.19
180,8.48,0.3302,-3505.06,0.19
181,10.12,352336.9434,-3751.97,0.24
182,7.52,0.8177,-3008.82,0.21
183,10.08,352336.0471,-3750.33,0.23
184,5.92,367989.722,-3969.87,0.27
185,9.08,3.8489,-2797.97,0.17
186,11.0,39719.8748,-2252.76,0.15
187,10.88,2567.3789,-3002.17,0.15
188,7.0,0.0164,-2750.2,0.16
189,8.96,6.7643,-2889.12,0.18
190,9.76,112419.609,-3728.94,0.34
191,8.28,17.5838,-3500.17,0.26
192,9.88,97761.8916,-3501.95,0.18
193,7.4,456554.6551,-3250.51,0.22
194,8.56,344186.2842,-3001.27,0.19
195,10.64,597603.3431,-3140.51,0.22
196,7.76,7477.2328,-2501.59,0.19
197,7.96,425649.3844,-2502.52,0.16
198,9.64,33910.9662,-3698.94,0.17
199,12.96,357021.97,-3778.3,0.17
200,9.56,719420.0914,-3472.18,0.17
201,10.04,639.2661,-1750.37,0.2
202,6.68,394166.448,-3500.64,0.3
203,8.28,68181.7566,-3976.4,0.24
204,8.08,844713.8963,-3750.89,0.2
205,9.96,366.8295,-4750.09,0.17
206,9.48,1197.6637,-3283.04,0.26
207,10.36,365967.6625,-3256.61,0.8
208,8.84,2703.5155,-2750.89,0.31
209,6.6,336579.8324,-3292.67,0.27
210,6.16,39.9979,-3286.5,0.34
211,9.92,372173.3873,-3507.38,0.25
212,5.32,355357.9294,-2290.43,0.27
213,7.84,0.0802,-3001.28,0.33
214,7.92,599648.5063,-3563.07,0.28
