episode,avg_pods,avg_latency,reward,execution_time
160,5.04,362563.4624,1.0,0.22
161,6.8,67920.4699,6.0,0.19
162,10.4,32272.5275,0.0,0.22
163,9.04,0.7732,3.0,0.2
164,9.44,0.3243,1.0,0.21
165,9.64,444.4993,-3.0,0.28
166,10.76,0.0631,-1.0,0.24
167,10.76,0.2874,-2.0,0.24
168,7.68,359703.7045,-1.0,0.21
169,8.28,359697.6528,-1.0,0.21
170,9.36,5814.6367,-1.0,0.23
171,5.64,84.884,11.0,0.25
172,6.4,174.5292,12.0,0.25
173,6.64,10.2595,19.0,0.28
174,6.32,3.8192,10.0,0.23
175,6.72,798501.3199,7.0,0.25
176,6.68,19.0615,11.0,0.21
177,6.92,359782.2328,1.0,0.2
178,9.2,30.9331,1.0,0.23
179,12.6,0.3709,-1.0,0.22
180,7.2,0.9008,7.0,0.21
181,9.36,0.4244,-3.0,0.26
182,10.52,0.0482,-2.0,0.22
183,5.4,19.4484,16.0,0.75
184,7.56,1.7061,2.0,0.25
185,7.6,1082592.5301,0.0,0.31
186,7.28,2.3992,9.0,0.3
187,8.36,432527.943,3.0,0.35
188,5.08,17.5907,19.0,0.33
189,7.04,459297.2085,13.0,0.3
190,10.12,842.9002,-4.0,0.24
191,6.64,17.1889,6.0,0.26
192,7.72,120023.4125,15.0,0.24
193,6.2,8.9898,15.0,0.25
194,5.0,67857.4605,15.0,0.22
195,13.44,2566.0167,-1.0,0.21
196,4.8,35.3417,26.0,0.23
197,8.28,11.9912,0.0,0.23
198,9.0,13.0942,-1.0,0.26
199,7.72,240052.8796,18.0,0.25
200,4.36,135714.9083,15.0,0.21
201,5.6,0.0842,16.0,0.21
202,6.16,153903.5143,25.0,0.22
203,11.52,0.1882,-2.0,0.22
204,7.84,240039.8333,18.0,0.24
205,6.36,14.2187,21.0,0.22
206,10.6,1262.9284,-4.0,0.23
207,6.88,0.1368,18.0,0.22
208,7.64,31.2424,17.0,0.25
209,11.76,619.6646,-11.0,0.2
210,10.2,38.3528,-3.0,0.21
211,12.88,360166.6606,-2.0,0.2
212,6.76,11.0594,22.0,0.22
213,7.64,26.3986,12.0,0.2
214,10.36,0.396,-6.0,0.2
215,6.2,1246515.932,4.0,0.23
216,5.28,20.259,21.0,0.2
217,10.72,1262.9514,-9.0,0.2
218,7.32,6.7218,13.0,0.22
219,6.0,29.0363,14.0,0.22
220,5.92,766972.5852,7.0,0.23
221,5.8,3.5365,20.0,0.25
222,5.88,0.2224,20.0,0.24
223,7.36,12.3572,15.0,0.21
224,5.32,3.0726,23.0,0.22
225,4.0,33898.612,17.0,0.21
226,8.32,0.3089,-1.0,0.24
227,12.0,456077.349,0.0,0.23
228,8.32,360178.9538,14.0,0.21
229,6.12,3.5405,18.0,0.25
230,10.72,119081.6404,5.0,0.23
231,9.32,52.7594,7.0,0.24
232,8.84,33967.7172,1.0,0.22
233,10.24,0.3774,-3.0,0.25
234,6.88,20.679,15.0,0.21
235,8.6,0.0334,-2.0,0.22
236,7.96,1598132.1724,-3.0,0.2
237,11.4,427.27,-3.0,0.24
238,6.96,120018.5676,15.0,0.23
239,6.0,17.6105,24.0,0.27
240,6.48,10.1119,21.0,0.25
241,12.96,0.0468,-5.0,0.22
242,4.44,239914.6038,9.0,0.22
243,12.36,3605.2356,-11.0,0.24
244,6.16,120034.316,24.0,0.26
245,10.32,2723.3908,-6.0,0.23
246,10.56,842.2368,-5.0,0.22
247,11.48,420.9872,-9.0,0.22
248,11.4,0.0764,-7.0,0.22
249,10.96,432.8036,-8.0,0.25
250,9.4,360165.9223,-2.0,0.26
251,10.8,11.816,-2.0,0.24
252,8.96,39.0806,-1.0,0.23
253,6.36,339247.5473,3.0,0.21
